original_name,normalized_name,volume,volume_unit,package_count,price,price_total,source_file
SYNPOWER C2 5W30 4/5 L SW,VALVOLINE SYNPOWER C2 5W30 4/5 L SW,5,L,4,691.26,13825.14,
SYNPOWER C2 5W30 4/4 L SW,VALVOLINE SYNPOWER C2 5W30 4/4 L SW,4,L,4,702.17,11234.78,
SYNPOWER C2 5W30 12/1 L SW,VALVOLINE SYNPOWER C2 5W30 12/1 L SW,1,L,12,728.24,8738.88,
SYNPOWER XL-IV C5 0W20 DR 208 L,VALVOLINE SYNPOWER XL-IV C5 0W20 DR 208 L,208,L,1,762.74,158650.83,
SYNPOWER XL-IV C5 0W20 PL 20 L,VALVOLINE SYNPOWER XL-IV C5 0W20 PL 20 L,20,L,1,791.46,15829.15,
SYNPOWER XL-IV C5 0W20 4/5 L SW,VALVOLINE SYNPOWER XL-IV C5 0W20 4/5 L SW,5,L,4,841.69,16833.73,
SYNPOWER XL-IV C5 0W20 4/5 L NSW,VALVOLINE SYNPOWER XL-IV C5 0W20 4/5 L NSW,5,L,4,841.69,16833.73,
SYNPOWER XL-IV C5 0W20 12/1 L SW,VALVOLINE SYNPOWER XL-IV C5 0W20 12/1 L SW,1,L,12,872.55,10470.60,
SYNPOWER XL-IV C5 0W20 12/1 L NSW,VALVOLINE SYNPOWER XL-IV C5 0W20 12/1 L NSW,1,L,12,872.55,10470.60,
SYNPOWER JL C5 0W20 DR 208 L,VALVOLINE SYNPOWER JL C5 0W20 DR 208 L,208,L,1,748.24,155633.92,
SYNPOWER JL C5 0W20 PL 20 L,VALVOLINE SYNPOWER JL C5 0W20 PL 20 L,20,L,1,757.00,15140.04,
SYNPOWER JL C5 0W20 4/5 L SW,VALVOLINE SYNPOWER JL C5 0W20 4/5 L SW,5,L,4,779.60,15591.91,
SYNPOWER JL C5 0W20 4/5 L NSW,VALVOLINE SYNPOWER JL C5 0W20 4/5 L NSW,5,L,4,779.60,15591.91,
SYNPOWER JL C5 0W20 12/1 L SW,VALVOLINE SYNPOWER JL C5 0W20 12/1 L SW,1,L,12,852.06,10224.74,
SYNPOWER JL C5 0W20 12/1 L NSW,VALVOLINE SYNPOWER JL C5 0W20 12/1 L NSW,1,L,12,852.06,10224.74,
SYNPOWER FE 0W20 DR 208 L,VALVOLINE SYNPOWER FE 0W20 DR 208 L,208,L,1,684.35,142344.22,
SYNPOWER FE 0W20 PL 20 L,VALVOLINE SYNPOWER FE 0W20 PL 20 L,20,L,1,726.52,14530.49,
SYNPOWER FE 0W20 4/5 L SW,VALVOLINE SYNPOWER FE 0W20 4/5 L SW,5,L,4,734.04,14680.72,
SYNPOWER FE 0W20 4/5 L NSW,VALVOLINE SYNPOWER FE 0W20 4/5 L NSW,5,L,4,734.04,14680.72,
SYNPOWER FE 0W20 12/1 L SW,VALVOLINE SYNPOWER FE 0W20 12/1 L SW,1,L,12,760.74,9128.85,
