"sku_id","name","price","original_price","stock","rating","review_count","url","image_url","category_id","created_at","updated_at","brand","price_name","rank","delivery_time","product_ids"
225700003,"Valvoline MAXLIFE 5W-30 Масло моторное, Синтетическое, 4 л",2900,,,,,https://www.ozon.ru/product/valvoline-maxlife-5w-30-maslo-motornoe-sinteticheskoe-4-l-225700003/,https://ir.ozone.ru/s3/multimedia-1-z/wc500/8013061295.jpg,115905,2025-10-21 22:16:36.185,2025-10-21 22:16:36.185,Valvoline,,8,,
474122004,"Valvoline MaxLife 10W-40 Масло моторное, Полусинтетическое, 4 л",3777,,,,1,https://www.ozon.ru/product/valvoline-maxlife-10w-40-maslo-motornoe-polusinteticheskoe-4-l-474122004/,https://ir.ozone.ru/s3/multimedia-1-s/c600/8061966748.jpg,,2025-10-21 15:48:27.002,2025-10-26 19:06:20.914,Valvoline,,,1,"872296"
1762553638,"Gazpromneft Diesel Premium 10W-40 Масло моторное, Полусинтетическое, 20 л",7215,,,,,https://www.ozon.ru/product/gazpromneft-diesel-premium-10w-40-maslo-motornoe-polusinteticheskoe-20-l-1762553638/,https://ir.ozone.ru/s3/multimedia-1-x/wc500/8106502173.jpg,186820,2025-10-20 15:05:13.307,2025-10-26 19:05:05.853,Gazpromneft,,55,,
142954397,"Gazpromneft Масло трансмиссионное, 1 л, 1 шт.",421,,,,,https://www.ozon.ru/product/gazpromneft-maslo-transmissionnoe-1-l-1-sht-142954397/,https://ir.ozone.ru/s3/multimedia-1-u/wc500/7349562462.jpg,186820,2025-10-21 23:04:53.263,2025-10-26 19:05:05.925,Gazpromneft,,104,,
1463000227,"G-Energy F Synth C2/C3 5W-30 Масло моторное, Синтетическое, 1 л",1198,,,,,https://www.ozon.ru/product/g-energy-f-synth-c2-c3-5w-30-maslo-motornoe-sinteticheskoe-1-l-1463000227/,https://ir.ozone.ru/s3/multimedia-1-r/wc500/7964881119.jpg,928238,2025-10-20 15:05:47.575,2025-10-26 19:05:38.619,G-Energy,,96,,
217030335,Масло G-Box Expert GL-5 80W-90 1л,541,1740,1,,,https://www.ozon.ru/product/maslo-g-box-expert-gl-5-80w-90-1l-217030335/,https://ir.ozone.ru/s3/multimedia-8/wc500/6033141464.jpg,7383,2025-10-21 17:16:01.238,2025-10-26 19:26:03.746,G-Energy,,34,,
417615003,"ЛУКОЙЛ (LUKOIL) GENESIS ARMORTECH JP SP, SP-RC, SN PLUS, SN-RC, SN, GF-6A, GF-5 5W-30 Масло моторное, Синтетическое, 4.06 л",2336,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-jp-sp-sp-rc-sn-plus-sn-rc-sn-gf-6a-gf-5-5w-30-maslo-motornoe-417615003/,https://ir.ozone.ru/s3/multimedia-1-n/wc500/7626685307.jpg,242419,2025-10-07 15:44:34.113,2025-10-26 18:57:56.407,ЛУКОЙЛ (LUKOIL),,62,,
1633155560,Масло трансмиссионное ЛУКОЙЛ ATF SYNTH VI синтетическое 1 литр,766,,,,,https://www.ozon.ru/product/maslo-transmissionnoe-lukoyl-atf-synth-vi-sinteticheskoe-1-litr-1633155560/,https://ir.ozone.ru/s3/multimedia-1-w/wc500/7104718472.jpg,225649,2025-10-23 22:55:49.285,2025-10-25 06:55:56.014,"",,76,,
1955760561,"Gazpromneft Premium JK 5W-30 Масло моторное, Синтетическое, 5 л",1867,2353,,,,https://www.ozon.ru/product/gazpromneft-premium-jk-5w-30-maslo-motornoe-sinteticheskoe-5-l-1955760561/,https://ir.ozone.ru/s3/multimedia-1-m/wc500/8107527190.jpg,186820,2025-10-22 03:04:53.996,2025-10-22 03:04:53.996,Gazpromneft,,110,,
1363170314,"ЛУКОЙЛ (LUKOIL) GENESIS ARMORTECH 5W-40 Масло моторное, Синтетическое, 1 л",863,,,,,https://www.ozon.ru/product/lukoyl-lukoil-genesis-armortech-5w-40-maslo-motornoe-sinteticheskoe-1-l-1363170314/,https://ir.ozone.ru/s3/multimedia-1-1/wc500/7320344005.jpg,92339,2025-10-23 19:02:48.798,2025-10-26 19:03:23.410,ЛУКОЙЛ (LUKOIL),,26,,
1084760798,"ЛУКОЙЛ (LUKOIL) Люкс 5W-40 Масло моторное, Полусинтетическое, 5 л",1671,,,,,https://www.ozon.ru/product/lukoyl-lukoil-lyuks-5w-40-maslo-motornoe-polusinteticheskoe-5-l-1084760798/,https://ir.ozone.ru/s3/multimedia-1-s/wc500/7347137068.jpg,92339,2025-10-23 23:03:22.586,2025-10-26 19:03:23.426,ЛУКОЙЛ (LUKOIL),,38,,
1079444912,"ЛУКОЙЛ (LUKOIL) супер 10W-40 Масло моторное, Полусинтетическое, 1 л",488,,,,,https://www.ozon.ru/product/lukoyl-lukoil-super-10w-40-maslo-motornoe-polusinteticheskoe-1-l-1079444912/,https://ir.ozone.ru/s3/multimedia-1-d/wc500/7317381109.jpg,92339,2025-10-23 19:02:48.757,2025-10-26 19:03:23.481,ЛУКОЙЛ (LUKOIL),,77,,
1363232406,"ЛУКОЙЛ (LUKOIL) armortech dx1 gf-6a sp 5W-30 Масло моторное, Синтетическое, 1 л",903,,,,,https://www.ozon.ru/product/lukoyl-lukoil-armortech-dx1-gf-6a-sp-5w-30-maslo-motornoe-sinteticheskoe-1-l-1363232406/,https://ir.ozone.ru/s3/multimedia-1-m/wc500/7309948126.jpg,92339,2025-10-23 19:02:48.830,2025-10-26 19:03:23.496,ЛУКОЙЛ (LUKOIL),,88,,
2970427384,"ЛУКОЙЛ (LUKOIL) LUXE 5W-40 Масло моторное, Синтетическое, 5 л, Уцененный товар",1495,,,,,https://www.ozon.ru/product/lukoyl-lukoil-luxe-5w-40-maslo-motornoe-sinteticheskoe-5-l-utsenennyy-tovar-2970427384/,https://ir.ozone.ru/s3/multimedia-1-z/wc500/8070771455.jpg,196698,2025-10-22 07:01:27.526,2025-10-23 19:00:58.663,ЛУКОЙЛ (LUKOIL),,84,,
470944997,"SINTEC Truck CI-4/SL 10W-40 Масло моторное, Полусинтетическое, 20 л",7554,,,,,https://www.ozon.ru/product/sintec-truck-ci-4-sl-10w-40-maslo-motornoe-polusinteticheskoe-20-l-470944997/,https://ir.ozone.ru/s3/multimedia-1-7/wc500/7714560067.jpg,242419,2025-10-24 14:57:49.292,2025-10-26 18:57:56.336,SINTEC,,12,,
401460671,Масло трансмиссионное Valvoline LIGHT and HD ATF/CVT (5л),4560,,,,,https://www.ozon.ru/product/maslo-transmissionnoe-valvoline-light-and-hd-atf-cvt-5l-401460671/,https://ir.ozone.ru/s3/multimedia-1-1/wc500/7736254525.jpg,115905,2025-10-22 07:15:36.462,2025-10-23 11:15:39.748,Valvoline,,20,,
1644020826,Масло промывочное ЛУКОЙЛ 4 литра,817,1707,1,,,https://www.ozon.ru/product/maslo-promyvochnoe-lukoyl-4-litra-1644020826/,https://ir.ozone.ru/s3/multimedia-1-n/wc500/7207036259.jpg,225649,2025-10-24 18:55:50.779,2025-10-26 18:55:51.567,"",,45,,
1600169563,"Valvoline valvoline 5W-30 Масло моторное, Синтетическое, 4 л",3676,,,,,https://www.ozon.ru/product/valvoline-valvoline-5w-30-maslo-motornoe-sinteticheskoe-4-l-1600169563/,https://ir.ozone.ru/s3/multimedia-1-7/wc500/7899809947.jpg,225649,2025-10-24 18:55:50.793,2025-10-24 18:55:50.793,Valvoline,,63,,
1247448840,"ЛУКОЙЛ (LUKOIL) лукойл 5W-30 Масло моторное, Синтетическое, 4 л",1775,3843,3,,,https://www.ozon.ru/product/lukoyl-lukoil-lukoyl-5w-30-maslo-motornoe-sinteticheskoe-4-l-1247448840/,https://ir.ozone.ru/s3/multimedia-1-p/wc500/7995686929.jpg,225649,2025-10-24 18:55:50.771,2025-10-24 22:55:57.283,"",,42,,
2515946749,"ЛУКОЙЛ (LUKOIL) Масло моторное, 1 л",667,1393,350,,,https://www.ozon.ru/product/lukoyl-lukoil-maslo-motornoe-1-l-2515946749/,https://ir.ozone.ru/s3/multimedia-1-y/wc500/7711514242.jpg,225649,2025-10-24 18:55:50.790,2025-10-26 18:55:51.580,"",,54,,
1635922477,"Жидкость ЛУКОЙЛ / LUKOIL ТОСОЛ СУПЕР А40, 5 л, 135344",1030,,,,,https://www.ozon.ru/product/zhidkost-lukoyl-lukoil-tosol-super-a40-5-l-135344-1635922477/,https://ir.ozone.ru/s3/multimedia-1-q/wc500/7887150098.jpg,225649,2025-10-24 18:55:50.812,2025-10-26 18:55:51.591,"",,62,,
1282060492,"ЛУКОЙЛ (LUKOIL) лукойл 10W-40 Масло моторное, Полусинтетическое, 5 л",1590,3285,2,,,https://www.ozon.ru/product/lukoyl-lukoil-lukoyl-10w-40-maslo-motornoe-polusinteticheskoe-5-l-1282060492/,https://ir.ozone.ru/s3/multimedia-1-h/wc500/8043272873.jpg,225649,2025-10-24 18:55:50.820,2025-10-26 18:55:51.611,"",,76,,
2828032583,"ЛУКОЙЛ (LUKOIL) 5W-40 Масло моторное, Синтетическое, 1 л",831,,,,,https://www.ozon.ru/product/lukoyl-lukoil-5w-40-maslo-motornoe-sinteticheskoe-1-l-2828032583/,https://ir.ozone.ru/s3/multimedia-1-q/wc500/7811897426.jpg,225649,2025-10-24 18:55:50.796,2025-10-26 18:55:51.631,"",,90,,
